('port 0','TE',1,'port 0',1,'transmission')
(5000,3)
199861638666666 0.006173 -0.136753
199859139896429 0.006188 -0.136737
199856641126191 0.006205 -0.136618
199854142355954 0.006222 -0.136400
199851643585717 0.006241 -0.136086
199849144815479 0.006260 -0.135677
199846646045242 0.006281 -0.135177
199844147275005 0.006303 -0.134592
199841648504767 0.006328 -0.133931
199839149734530 0.006354 -0.133213
199836650964292 0.006384 -0.132470
199834152194055 0.006417 -0.131755
199831653423818 0.006455 -0.131158
199829154653580 0.006498 -0.130822
199826655883343 0.006547 -0.130984
199824157113105 0.006605 -0.132016
199821658342868 0.006672 -0.134505
199819159572631 0.006748 -0.139342
199816660802393 0.006830 -0.147802
199814162032156 0.006910 -0.161495
199811663261919 0.006966 -0.181856
199809164491681 0.006961 -0.208578
199806665721444 0.006850 -0.236495
199804166951206 0.006622 -0.252972
199801668180969 0.006363 -0.243749
199799169410732 0.006217 -0.210694
199796670640494 0.006239 -0.175315
199794171870257 0.006360 -0.154212
199791673100020 0.006493 -0.147688
199789174329782 0.006599 -0.149546
199786675559545 0.006671 -0.154719
199784176789307 0.006719 -0.160518
199781678019070 0.006749 -0.165822
199779179248833 0.006768 -0.170288
199776680478595 0.006781 -0.173906
199774181708358 0.006791 -0.176778
199771682938120 0.006799 -0.179034
199769184167883 0.006807 -0.180797
199766685397646 0.006814 -0.182167
199764186627408 0.006821 -0.183225
199761687857171 0.006829 -0.184033
199759189086934 0.006838 -0.184641
199756690316696 0.006847 -0.185085
199754191546459 0.006856 -0.185393
199751692776221 0.006867 -0.185586
199749194005984 0.006877 -0.185677
199746695235747 0.006889 -0.185679
199744196465509 0.006900 -0.185599
199741697695272 0.006913 -0.185441
199739198925035 0.006926 -0.185209
199736700154797 0.006940 -0.184901
199734201384560 0.006954 -0.184518
199731702614322 0.006969 -0.184057
199729203844085 0.006985 -0.183513
199726705073848 0.007001 -0.182883
199724206303610 0.007019 -0.182161
199721707533373 0.007037 -0.181341
199719208763135 0.007057 -0.180415
199716709992898 0.007079 -0.179379
199714211222661 0.007102 -0.178227
199711712452423 0.007128 -0.176957
199709213682186 0.007156 -0.175575
199706714911949 0.007188 -0.174094
199704216141711 0.007224 -0.172545
199701717371474 0.007266 -0.170988
199699218601236 0.007315 -0.169530
199696719830999 0.007372 -0.168356
199694221060762 0.007441 -0.167776
199691722290524 0.007522 -0.168298
