('port 0','TE',1,'port 0',1,'transmission')
(5000,3)
199861638666666 0.006219 -0.140439
199859139896429 0.006230 -0.141228
199856641126191 0.006242 -0.141844
199854142355954 0.006255 -0.142313
199851643585717 0.006269 -0.142656
199849144815479 0.006283 -0.142890
199846646045242 0.006298 -0.143026
199844147275005 0.006315 -0.143075
199841648504767 0.006332 -0.143045
199839149734530 0.006351 -0.142945
199836650964292 0.006371 -0.142782
199834152194055 0.006392 -0.142569
199831653423818 0.006415 -0.142320
199829154653580 0.006440 -0.142057
199826655883343 0.006468 -0.141812
199824157113105 0.006498 -0.141633
199821658342868 0.006532 -0.141595
199819159572631 0.006571 -0.141808
199816660802393 0.006614 -0.142444
199814162032156 0.006664 -0.143764
199811663261919 0.006721 -0.146165
199809164491681 0.006786 -0.150249
199806665721444 0.006858 -0.156905
199804166951206 0.006933 -0.167395
199801668180969 0.007003 -0.183349
199799169410732 0.007046 -0.206415
199796670640494 0.007022 -0.236960
199794171870257 0.006875 -0.270832
199791673100020 0.006566 -0.294193
199789174329782 0.006165 -0.283369
199786675559545 0.005895 -0.227457
199784176789307 0.005924 -0.158031
199781678019070 0.006166 -0.115566
199779179248833 0.006439 -0.104818
199776680478595 0.006649 -0.111634
199774181708358 0.006786 -0.124422
199771682938120 0.006867 -0.137535
199769184167883 0.006912 -0.148941
199766685397646 0.006936 -0.158223
199764186627408 0.006949 -0.165558
199761687857171 0.006956 -0.171285
199759189086934 0.006959 -0.175741
199756690316696 0.006962 -0.179209
199754191546459 0.006965 -0.181916
199751692776221 0.006968 -0.184033
199749194005984 0.006972 -0.185694
199746695235747 0.006977 -0.186997
199744196465509 0.006983 -0.188016
199741697695272 0.006990 -0.188810
199739198925035 0.006998 -0.189419
199736700154797 0.007007 -0.189877
199734201384560 0.007017 -0.190209
199731702614322 0.007027 -0.190431
199729203844085 0.007039 -0.190560
199726705073848 0.007051 -0.190604
199724206303610 0.007064 -0.190572
199721707533373 0.007078 -0.190469
199719208763135 0.007093 -0.190300
199716709992898 0.007109 -0.190068
199714211222661 0.007126 -0.189775
199711712452423 0.007144 -0.189424
199709213682186 0.007164 -0.189018
199706714911949 0.007184 -0.188562
199704216141711 0.007207 -0.188061
199701717371474 0.007232 -0.187527
199699218601236 0.007258 -0.186976
199696719830999 0.007288 -0.186433
199694221060762 0.007321 -0.185938
199691722290524 0.007358 -0.185551
199689223520287 0.007399 -0.185363
199686724750050 0.007447 -0.185514
199684225979812 0.007501 -0.186213
199681727209575 0.007564 -0.187776
199679228439337 0.007635 -0.190674
199676729669100 0.007715 -0.195594
199674230898863 0.007804 -0.203513
199671732128625 0.007894 -0.215726
199669233358388 0.007973 -0.233730
199666734588150 0.008014 -0.258677
199664235817913 0.007973 -0.289919
199661737047676 0.007798 -0.322250
199659238277438 0.007473 -0.343053
199656739507201 0.007080 -0.335401
199654240736964 0.006800 -0.294397
199651741966726 0.006759 -0.240823
199649243196489 0.006909 -0.201196
199646744426251 0.007122 -0.183083
199644245656014 0.007313 -0.180220
199641746885777 0.007456 -0.184896
199639248115539 0.007554 -0.192211
199636749345302 0.007619 -0.199758
199634250575065 0.007661 -0.206561
199631751804827 0.007689 -0.212340
199629253034590 0.007708 -0.217110
199626754264352 0.007722 -0.220993
199624255494115 0.007733 -0.224136
199621756723878 0.007743 -0.226676
199619257953640 0.007752 -0.228731
199616759183403 0.007760 -0.230397
199614260413165 0.007769 -0.231750
199611761642928 0.007779 -0.232853
199609262872691 0.007789 -0.233753
199606764102453 0.007800 -0.234488
199604265332216 0.007812 -0.235088
199601766561979 0.007825 -0.235578
199599267791741 0.007838 -0.235976
199596769021504 0.007852 -0.236298
199594270251266 0.007868 -0.236557
199591771481029 0.007884 -0.236766
199589272710792 0.007901 -0.236933
199586773940554 0.007920 -0.237070
199584275170317 0.007939 -0.237186
199581776400080 0.007960 -0.237294
199579277629842 0.007982 -0.237405
199576778859605 0.008006 -0.237538
199574280089367 0.008032 -0.237714
199571781319130 0.008060 -0.237960
199569282548893 0.008090 -0.238315
199566783778655 0.008123 -0.238829
199564285008418 0.008159 -0.239570
199561786238180 0.008198 -0.240632
199559287467943 0.008241 -0.242140
199556788697706 0.008288 -0.244267
199554289927468 0.008339 -0.247241
199551791157231 0.008394 -0.251363
199549292386994 0.008450 -0.257018
199546793616756 0.008506 -0.264665
199544294846519 0.008555 -0.274794
199541796076281 0.008588 -0.287788
199539297306044 0.008590 -0.303631
199536798535807 0.008544 -0.321375
199534299765569 0.008431 -0.338430
199531800995332 0.008248 -0.350123
199529302225095 0.008021 -0.350645
199526803454857 0.007812 -0.336497
199524304684620 0.007691 -0.310662
199521805914382 0.007686 -0.282127
199519307144145 0.007775 -0.259538
199516808373908 0.007907 -0.246263
199514309603670 0.008042 -0.241117
199511810833433 0.008158 -0.241318
199509312063195 0.008250 -0.244380
199506813292958 0.008319 -0.248633
199504314522721 0.008371 -0.253123
199501815752483 0.008409 -0.257376
199499316982246 0.008438 -0.261190
199496818212009 0.008461 -0.264514
199494319441771 0.008480 -0.267367
199491820671534 0.008496 -0.269796
199489321901296 0.008511 -0.271860
199486823131059 0.008525 -0.273615
199484324360822 0.008539 -0.275112
199481825590584 0.008553 -0.276394
199479326820347 0.008567 -0.277500
199476828050110 0.008581 -0.278459
199474329279872 0.008597 -0.279299
199471830509635 0.008612 -0.280041
199469331739397 0.008629 -0.280703
199466832969160 0.008647 -0.281302
199464334198923 0.008665 -0.281852
199461835428685 0.008685 -0.282365
199459336658448 0.008706 -0.282856
199456837888210 0.008728 -0.283336
199454339117973 0.008752 -0.283821
199451840347736 0.008777 -0.284327
199449341577498 0.008804 -0.284873
199446842807261 0.008832 -0.285485
199444344037024 0.008863 -0.286193
199441845266786 0.008897 -0.287040
199439346496549 0.008934 -0.288079
199436847726311 0.008973 -0.289383
199434348956074 0.009017 -0.291051
199431850185837 0.009065 -0.293214
199429351415599 0.009117 -0.296052
199426852645362 0.009173 -0.299809
199424353875125 0.009234 -0.304811
199421855104887 0.009297 -0.311489
199419356334650 0.009361 -0.320393
199416857564412 0.009419 -0.332182
199414358794175 0.009460 -0.347536
199411860023938 0.009466 -0.366914
199409361253700 0.009411 -0.389977
199406862483463 0.009260 -0.414509
199404363713225 0.008987 -0.434893
199401864942988 0.008607 -0.441325
199399366172751 0.008208 -0.423145
199396867402513 0.007942 -0.379075
199394368632276 0.007915 -0.324955
199391869862039 0.008097 -0.282128
199389371091801 0.008372 -0.259597
199386872321564 0.008640 -0.253822
199384373551326 0.008856 -0.257752
199381874781089 0.009013 -0.265910
199379376010852 0.009122 -0.275142
199376877240614 0.009195 -0.283941
199374378470377 0.009244 -0.291724
199371879700140 0.009278 -0.298361
199369380929902 0.009301 -0.303925
199366882159665 0.009319 -0.308557
199364383389427 0.009333 -0.312410
199361884619190 0.009345 -0.315625
199359385848953 0.009356 -0.318324
199356887078715 0.009367 -0.320606
199354388308478 0.009378 -0.322554
199351889538240 0.009390 -0.324231
199349390768003 0.009403 -0.325691
199346891997766 0.009416 -0.326976
199344393227528 0.009431 -0.328120
199341894457291 0.009446 -0.329151
199339395687054 0.009463 -0.330091
199336896916816 0.009480 -0.330961
199334398146579 0.009499 -0.331777
199331899376341 0.009518 -0.332557
199329400606104 0.009539 -0.333314
199326901835867 0.009562 -0.334065
199324403065629 0.009586 -0.334826
199321904295392 0.009611 -0.335616
199319405525155 0.009639 -0.336458
199316906754917 0.009668 -0.337380
199314407984680 0.009700 -0.338417
199311909214442 0.009734 -0.339614
199309410444205 0.009771 -0.341031
199306911673968 0.009811 -0.342745
199304412903730 0.009854 -0.344859
199301914133493 0.009901 -0.347512
199299415363255 0.009952 -0.350885
199296916593018 0.010006 -0.355221
199294417822781 0.010061 -0.360834
199291919052543 0.010117 -0.368124
199289420282306 0.010168 -0.377576
199286921512069 0.010207 -0.389715
199284422741831 0.010221 -0.404978
199281923971594 0.010189 -0.423396
199279425201356 0.010083 -0.443949
199276926431119 0.009875 -0.463483
199274427660882 0.009552 -0.475493
199271928890644 0.009154 -0.470377
199269430120407 0.008798 -0.440556
199266931350170 0.008634 -0.390619
199264432579932 0.008729 -0.339603
199261933809695 0.009009 -0.305383
199259435039457 0.009343 -0.291812
199256936269220 0.009639 -0.293037
199254437498983 0.009864 -0.301896
199251938728745 0.010020 -0.313438
199249439958508 0.010122 -0.325010
199246941188270 0.010185 -0.335458
199244442418033 0.010224 -0.344424
199241943647796 0.010246 -0.351926
199239444877558 0.010260 -0.358130
199236946107321 0.010268 -0.363240
199234447337084 0.010273 -0.367454
199231948566846 0.010278 -0.370942
199229449796609 0.010282 -0.373847
199226951026371 0.010287 -0.376284
199224452256134 0.010292 -0.378347
199221953485897 0.010299 -0.380109
199219454715659 0.010307 -0.381630
199216955945422 0.010317 -0.382955
199214457175185 0.010327 -0.384125
199211958404947 0.010339 -0.385169
199209459634710 0.010353 -0.386115
199206960864472 0.010368 -0.386984
199204462094235 0.010384 -0.387797
199201963323998 0.010402 -0.388571
199199464553760 0.010422 -0.389326
199196965783523 0.010443 -0.390080
199194467013285 0.010466 -0.390854
